1	80	100	70	20	00:00:35	1	1	1200
2	105	135	95	25	00:04:10	1	1	1700
3	140	175	125	35	00:08:50	1	2	2300
4	190	235	165	45	00:16:30	1	2	3100
5	250	315	220	65	00:39:00	1	2	4000
6	335	415	290	85	01:28:00	1	3	5000
7	445	555	385	110	02:10:00	1	4	6300
8	590	735	515	145	03:00:00	1	4	7700
9	785	980	685	195	03:40:00	1	5	9600
10	1040	1300	910	260	04:15:00	1	6	12000
11	1385	1730	1210	345	05:10:00	2	7	14400
12	1845	2305	1610	460	06:05:00	2	9	18000
13	2450	3065	2145	615	07:10:00	2	11	22000
14	3260	4075	2850	815	08:05:00	2	13	26000
15	4335	5420	3795	1085	09:20:00	2	15	32000
16	5765	7205	5045	1440	10:25:00	2	18	38000
17	7670	9585	6710	1915	12:05:00	2	22	45000
18	10200	12750	8925	2550	14:20:00	2	27	55000
19	13565	16955	11870	3390	16:30:00	2	32	66000
20	18040	22550	15785	4510	18:40:00	2	38	80000
