1	100	80	30	60	00:00:30	3	1	5
2	165	135	50	100	00:02:15	2	1	9
3	280	225	85	165	00:07:30	2	2	15
4	465	375	140	280	00:30:00	2	2	22
5	780	620	235	465	01:00:00	2	2	33
6	1300	1040	390	780	02:00:00	2	3	50
7	2170	1735	650	1300	03:00:00	2	4	70
8	3625	2900	1085	2175	06:00:00	2	4	100
9	6050	4840	1815	3630	09:00:00	2	5	145
10	10105	8080	3030	6060	13:30:00	2	6	200
11	16870	13500	5060	10125	18:00:00	3	7	280
12	28175	22540	8455	16905	22:30:00	3	9	375
13	47055	37645	14115	28230	27:00:00	3	11	495
14	78580	62865	23575	47150	33:00:00	3	13	635
15	131230	104985	39370	78740	37:30:00	3	15	800
16	219155	175320	65745	131490	45:00:00	3	18	1000
17	365985	292790	109795	219590	60:00:00	3	22	1300
18	611195	488955	183360	366715	75:00:00	3	27	1600
19	1020695	816555	306210	612420	90:00:00	3	32	2000
20	1704565	1363650	511370	1022740	120:00:00	3	38	2500
